Company_Name,Skills they are looking for,Number of positions
bhanix finance and investment limited,"['core java' 'design patterns' 'hibernate' 'maven' 'mysql' 'node.js'
 'react.js' 'spring mvc']",1
bharat hr solutions and consultancy,"['consultancy' 'hr solutions' 'information technology' 'query' 'station'
 'vb.net' 'web technologies']",1
big idea technology,"['azure' 'cloud' 'communication skills' 'connectwise'
 'information technology' 'it skills' 'spoken english' 'technical support']",1
biocon limited,"['crystallization' 'process development' 'process engineering'
 'process improvement' 'technology transfer']",1
bitpod,"['analytical' 'cassandra' 'computer science' 'javascript' 'management'
 'mongodb' 'nosql' 'tdd']",1
blue yonder,"[list(['app dynamics', 'api', 'jenkins', 'rest', 'git', 'gradle', 'kafka', 'springboot'])
 list(['automation', 'linux', 'soa', 'coding', 'javascript', 'agile', 'scrum', 'open source'])
 list(['backend', 'front end', 'git', 'architecture', 'rdbms', 'web development', 'j2ee', 'html'])
 list(['continuous integration', 'automation', 'coding', 'information security', 'manager technology', 'ups', 'operations', 'cost'])
 list(['continuous integration', 'automation', 'hibernate', 'usage', 'coding', 'rdbms', 'information security', 'application architecture'])
 list(['continuous integration', 'automation', 'lead software', 'coding', 'information security', 'manager technology', 'ups', 'subject matter expert'])
 list(['continuous integration', 'information security', 'software engineer ii', 'saas', 'ups', 'test cases', 'software quality', 'operations'])
 list(['it skills', 'java', 'j2ee', 'software development', 'cloud', 'devops', 'aws', 'automation'])
 list(['it skills', 'java', 'j2ee', 'testing', 'cloud', 'devops', 'jenkins', 'unix'])
 list(['it skills', 'java', 'python', 'software development', 'cloud', 'devops', 'jenkins', 'system architecture'])
 list(['it skills', 'java', 'python', 'software development', 'cloud', 'jenkins', 'azure', 'unix'])
 list(['it skills', 'java', 'software development', 'cloud', 'jenkins', 'azure', 'supply chain', 'hibernate'])
 list(['it skills', 'java', 'testing', 'cloud', 'devops', 'jenkins', 'aws', 'unix'])
 list(['it skills', 'software development', 'cloud', 'devops', 'javascript', 'aws', 'azure', 'order management'])
 list(['it skills', 'software development', 'cloud', 'devops', 'javascript', 'aws', 'azure', 'supply chain'])
 list(['it skills', 'software development', 'supply chain', 'business analyst', 'software architect', 'j2ee'])
 list(['it skills', 'testing', 'selenium', 'cloud', 'devops', 'javascript', 'aws', 'automation'])
 list(['jenkins', 'ansible', 'flux', 'docker', 'gradle', 'verbal', 'yaml file', 'git'])
 list(['maven', 'automation', 'github', 'coding', 'powershell', 'paas', 'workflow', 'microsoft'])
 list(['nosql', 'kafka', 'ignite', 'nodejs', 'apache spark', 'jenkins', 'application gateway', 'azure ad'])
 list(['order management', 'hibernate', 'automation', 'git', 'nosql', 'rdbms', 'javascript', 'application architecture'])
 list(['product management', 'computer science', 'testing tools', 'coding', 'information security', 'customer support', 'application security', 'information technology'])
 list(['rest', 'azure', 'saas', 'spring boot', 'microservices', 'spring', 'oracle', 'gcloud'])
 list(['spring boot', 'hibernate', 'automation', 'git', 'nosql', 'architecture', 'rdbms', 'agile'])
 list(['supply chain', 'hibernate', 'git', 'rdbms', 'enterprise applications', 'powershell', 'windows', 'troubleshooting'])
 list(['team management', 'publishing', 'senior management', 'architecture', 'information security', 'manager technology', 'open source', 'service quality'])
 list(['unix', 'automation', 'linux', 'coding', 'xml', 'information security', 'html', 'windows'])
 list(['unix', 'c++', 'hibernate', 'linux', 'rdbms', 'coding', 'web development', 'debugging'])
 list(['unix', 'c++', 'hibernate', 'linux', 'rdbms', 'debugging', 'data structures', 'json'])]",32
blueberry labs,"['b tech' 'css3' 'database design' 'development' 'digital media' 'intern'
 'internship' 'javascript' 'mca' 'php' 'php mysql' 's' 'server management'
 'skills' 'symfony' 'tware' 'web applications']",3
bold business,"['.net' 'agile' 'asp' 'asp . net' 'asp.net' 'c #' 'css' 'css3' 'django'
 'html' 'html5' 'information technology' 'it skills' 'javascript'
 'microsoft net' 'mvc' 'mysql' 'office 365' 'oral communication' 'php'
 'python' 'sharepoint' 'sharepoint application services'
 'sharepoint server' 'software design' 'software development' 'sql server'
 'testing' 'troubleshooting' 'user support' 'visual basic' 'windows'
 'written']",6
bookmyshow,"['api gateways' 'application development' 'hybrid mobile application'
 'mobile applications' 'mongodb' 'mysql' 'node . js' 'redux']",1
bosch global software technologies private limited,['adas' 'autosar' 'canalyzer' 'diagnostics' 'uds'],1
brains & machines innovative solutions,"['.net' 'automation' 'computer science' 'it skills' 'quality assurance'
 'selenium' 'stress testing' 'testing']",1
bsi,"['agile' 'customer service' 'information technology' 'isms' 'iso 20000'
 'iso 27001' 'support services' 'technical support']",1
buoyant,"['c / c++' 'c++' 'c/c++' 'cloud' 'embedded linux' 'embedded software'
 'it skills' 'javascript' 'nodejs' 'python' 'rs232' 'sensor' 'tcp']",2
burgeon it services pvt ltd,"['angular' 'azure' 'elk stack' 'microsoft net' 'oracle' 'react' 'rest api'
 'sql server']",1
ca technologies,"[list(['it skills', 'testing', 'product management', 'staff software engineer'])
 list(['performance testing', 'troubleshooting', 'it skills', 'testing', 'product management', 'r&d software engineer (full stack staff engineer)'])
 list(['principal']) list(['software engineer'])]",4
cactus global,"['blogger' 'blogging' 'content writing' 'editing' 'freshers'
 'language editing' 'review' 'seo writing']",1
capgemini,"[list(['embedded c', 'linux', 'embedded software', 'software engineering'])
 list(['it skills', 'python', 'oracle', 'unix', 'esp', 'db2', 'perl', 'teradata'])
 list(['it skills', 'python', 'software development', 'jenkins', 'c++', 'git', 'linux', 'c programming language'])
 list(['ooad', 'web services', 'mq', 'scrum', 'sql', 'smart bpm', 'jms', 'prpc'])
 list(['salesforce com development', 'lwc', 'java', 'salesforce', 'rest', 'sfdc lightning', 'aura', 'soql'])]",5
carbynetech india,"['it infrastructure' 'mes implementation' 'microsoft office'
 'network infrastructure' 'network monitoring tools' 'routing & switching'
 'virtualization' 'wireless operations']",1
careerxperts consulting,"['consulting' 'design review' 'hr' 'j2ee' 'management' 'software design'
 'system design' 'time management']",1
carrierin services,"['android sdk' 'application development' 'bluetooth' 'front end' 'git'
 'object oriented design' 'performance tuning' 'user interface designing']",1
